,genres,id,vote_average,release_year,revenue_adj,original_title
0,Action|Adventure|Science Fiction|Thriller,135397,6.5,2015,1392445892.5238,Jurassic World
1,Action|Adventure|Science Fiction|Thriller,76341,7.1,2015,348161292.489031,Mad Max: Fury Road
2,Adventure|Science Fiction|Thriller,262500,6.3,2015,271619025.407628,Insurgent
3,Action|Adventure|Science Fiction|Fantasy,140607,7.5,2015,1902723129.80182,Star Wars: The Force Awakens
4,Action|Crime|Thriller,168259,7.3,2015,1385748801.47052,Furious 7
5,Western|Drama|Adventure|Thriller,281957,7.2,2015,490314247.02173096,The Revenant
6,Science Fiction|Action|Thriller|Adventure,87101,5.8,2015,405355075.683766,Terminator Genisys
7,Drama|Adventure|Science Fiction,286217,7.6,2015,547749654.3101519,The Martian
8,Family|Animation|Adventure|Comedy,211672,6.5,2015,1064192016.7955099,Minions
9,Comedy|Animation|Family,150540,8.0,2015,785411574.698907,Inside Out
10,Action|Adventure|Crime,206647,6.2,2015,810220283.783075,Spectre
11,Science Fiction|Fantasy|Action|Adventure,76757,5.2,2015,169268630.681802,Jupiter Ascending
12,Drama|Science Fiction,264660,7.6,2015,33919845.9552677,Ex Machina
13,Action|Comedy|Science Fiction,257344,5.8,2015,224146025.095748,Pixels
14,Action|Adventure|Science Fiction,99861,7.4,2015,1292632336.88177,Avengers: Age of Ultron
15,Crime|Drama|Mystery|Western,273248,7.4,2015,143299244.588332,The Hateful Eight
16,Crime|Action|Thriller,260346,6.1,2015,299709578.207785,Taken 3
17,Science Fiction|Action|Adventure,102899,7.0,2015,477113780.029936,Ant-Man
18,Romance|Fantasy|Family|Drama,150689,6.8,2015,498963025.21626794,Cinderella
19,War|Adventure|Science Fiction,131634,6.5,2015,598481289.508232,The Hunger Games: Mockingjay - Part 2
20,Action|Family|Science Fiction|Adventure|Mystery,158852,6.2,2015,192312729.942398,Tomorrowland
21,Action|Drama,307081,7.3,2015,84373003.7158783,Southpaw
22,Action|Drama|Thriller,254128,6.1,2015,432851374.985395,San Andreas
23,Drama|Romance,216015,5.3,2015,524079119.045187,Fifty Shades of Grey
24,Comedy|Drama,318846,7.3,2015,122678731.54135801,The Big Short
25,Action,177677,7.1,2015,627743451.672881,Mission: Impossible - Rogue Nation
26,Comedy,214756,6.3,2015,198594430.13845,Ted 2
27,Crime|Comedy|Action|Adventure,207703,7.6,2015,371497801.660967,Kingsman: The Secret Service
